species,temperature,structure,time,feeding_layer,joint,joint_nearest_distance,outlier
七彩神仙鱼（白）,7,2,1,1,25,0.0,False
七彩神仙鱼（橙）,7,2,1,1,25,0.0,False
地图鱼,0,8,2,0,12,0.019400352733686062,False
长吻鲍氏脂鲤,0,6,3,1,22,0.0662778579445246,False
虎纹鸭嘴鲇,0,0,0,2,16,0.12316952594730374,False
金目丽鱼,7,8,2,0,12,0.0,False
茅尖鱼,0,3,2,1,22,0.14240842828082412,False
针牙脂鲤,0,6,3,1,22,0.0662778579445246,False
河红马鱼,1,4,1,0,13,0.12511193908329324,False
金红马鱼,1,4,1,0,13,0.12511193908329324,False
萨克拉门托大斑狗鱼,1,3,1,0,4,0.04835227899029983,False
大西洋黄貂鱼,0,18,0,2,16,0.11855993800438243,False
单鳍多线鱼,7,2,2,0,19,0.06534391534391533,False
鲤鱼,6,6,1,0,10,0.06624579124579125,False
黄尾鰤,4,16,2,0,19,0.08153626209181765,False
剑旗鱼,5,2,2,1,2,0.09780343113676448,False
巴西马鲛,0,2,2,0,19,0.06564320453209342,False
草鱼,6,6,1,0,10,0.04772727272727272,False
双线无须鳕,7,13,2,0,19,0.10472204059443642,False
四白锦鲤,6,6,1,0,10,0.041245791245791245,False
圆点五色锦鲤,6,6,1,0,10,0.041245791245791245,False
圆鳍鱼,7,10,2,0,19,0.12075116241782907,False
塞凡湖鳟,1,5,3,0,7,0.06404693190407476,False
大西洋小鳕,7,13,2,0,19,0.11287900708473624,False
大西洋牙鲆,8,17,2,0,19,0.1125521083854417,False
大西洋狼鱼,7,10,2,0,19,0.12987814654481322,False
大西洋黄盖鲽,7,17,2,0,19,0.09899390732724064,False
小体鲟,1,4,3,2,8,0.0,False
常见拟鲤,1,6,1,0,10,0.04741863075196409,False
常见鮈鱼,11,9,2,0,19,0.13021083854417187,False
无鳞鲤,6,6,1,0,10,0.06624579124579125,False
棘背钝头鳐,2,17,0,0,23,0.14632369970060605,False
橙黄金锦鲤,6,6,1,0,10,0.041245791245791245,False
欧白鲑,7,5,3,0,7,0.05522286355619689,False
湖拟鲤,1,6,1,0,10,0.04741863075196409,False
白化草鱼,6,6,1,0,10,0.0,False
白北鲑,7,5,3,0,7,0.023368606701940034,False
白斑角鲨,2,16,2,0,19,0.14575116241782907,False
红白锦鲤,6,6,1,0,10,0.041245791245791245,False
美洲拟鲽,7,17,2,0,19,0.10715087381754046,False
花鮨,8,10,2,0,19,0.10796456629789963,False
葛氏鲈塘鳢,4,3,2,0,26,0.1423707979263535,False
赤梢鱼,1,13,3,2,8,0.10766394099727433,False
镜鲤(白化),6,6,1,0,10,0.041245791245791245,False
闪光鲟,1,4,3,0,7,0.08315696649029983,False
驼背白鲑,7,5,3,0,7,0.0,False
高白鲑,7,5,3,2,8,0.08491662658329324,False
鳞鲤(人面鲤),6,6,1,0,10,0.041245791245791245,False
鳞鲤(白化),6,6,1,0,10,0.041245791245791245,False
黑口红点鲑,1,5,3,0,7,0.050410568267711134,False
大西洋大比目鱼,7,17,2,0,19,0.09899390732724064,False
大西洋鲱鱼,11,2,2,0,19,0.10015302417263201,False
大西洋鳕鱼,2,13,2,0,19,0.13753273475495698,False
女巫鲽,7,17,2,0,19,0.10693041526374858,False
彩虹镖鲈,11,13,3,0,7,0.13407258526306143,False
欧鲢,11,14,1,0,13,0.12979998396665063,False
毛鳞鱼,7,13,2,1,2,0.10066271177382288,False
海七鳃鳗,11,15,0,0,18,0.051878215967563035,False
湖红点鲑,2,5,3,2,8,0.1343875260541927,False
牛头鲦,4,14,1,0,13,0.11064985795454545,False
绿青鳕,7,13,2,0,19,0.11265854853094436,False
虎纹梭鱼,1,3,1,1,3,0.06488667052469135,False
虎纹鳟鱼,4,5,3,2,8,0.1235848660451835,False
赤稍雅罗鱼,11,14,1,0,13,0.12979998396665063,False
金眼鱼,1,2,0,1,21,0.0,False
金鲫,11,6,1,2,17,0.14762534643487024,True
银鲫,1,6,1,0,10,0.04741863075196409,False
黑线鳕,7,13,2,0,19,0.11287900708473625,False
黑鼓鱼,0,7,3,0,11,0.12716450216450215,False
鼠鲨,5,16,2,1,27,0.12879789963123295,False
白条鱼,4,14,1,0,13,0.11246249341487435,False
中华倒刺鲃,4,11,1,0,13,0.10837713068181817,False
俄罗斯鲟,1,4,3,2,8,0.008156966490299828,False
光倒刺鲃,4,11,1,2,6,0.0635625549418653,False
六须鲶,5,0,0,0,18,0.0516273849607183,False
准白甲鱼,4,11,1,0,13,0.13326890557359306,False
印度鲮,0,6,1,0,10,0.11106911900562695,False
哲罗鲑,1,5,3,0,7,0.03904693190407477,False
唇䱻,1,11,2,2,28,0.12516033349366681,False
团头鲂,1,6,1,2,17,0.09969135802469137,False
圆吻鲴,4,14,1,0,13,0.08564985795454545,False
圆腹雅罗鱼,11,14,1,0,13,0.12979998396665063,False
土鲶,5,0,0,0,18,0.0516273849607183,False
大口鲶,4,0,0,0,0,0.0,False
大青鲨,0,0,2,0,19,0.058782267115600445,False
大鳍𫚪,4,6,2,0,26,0.1158008658008658,False
大鳞鲃,1,9,1,0,13,0.07313784099498387,False
宝石鲈,3,13,2,0,24,0.1121532788199455,False
宽鳍𫚭,1,14,1,0,13,0.08052749719416386,False
工程鲫,6,6,1,0,10,0.03692949627908978,False
巨型巴沙,0,0,2,0,19,0.058782267115600445,False
巴西鲷,4,4,2,2,6,0.0,False
广东鲂,1,6,1,0,10,0.0,False
斑鳜,1,8,2,0,12,0.06218935385602052,False
暹罗巨鲤,0,6,1,0,10,0.11620169953503287,False
杂交鲟,1,4,3,0,7,0.09452060285393618,False
柳根鱼,8,14,1,0,13,0.10843125128839415,False
欧洲巨鲶,11,0,0,0,18,0.10131874298540965,False
江黄颡,4,6,2,0,26,0.13701721455627705,False
沙塘鳢,1,3,2,0,26,0.08608327195566778,False
泰鲮,0,4,1,2,6,0.07421436588103254,False
海鲈,4,8,3,2,15,0.10266554433221098,False
淡水白鲳,0,6,2,1,22,0.06137187224426807,False
淡水石斑,13,8,2,2,12,0.11331970498637164,False
湄公鲶,0,0,0,0,0,0.0,False
湘华鲮,4,4,1,0,13,0.14463254193722944,False
笋壳鱼,0,3,2,0,26,0.11180054513387845,False
红罗非,0,2,2,3,29,0.14093714927048262,False
细鳞鲑,1,5,3,0,7,0.02768329554043841,False
罗非鱼,4,9,2,0,19,0.0803137192026081,False
翘嘴红鲌,1,20,1,0,13,0.11859238644952932,False
花骨鱼,1,11,2,0,28,0.12338085091991341,False
荷包红鲤,6,6,1,0,10,0.041245791245791245,False
蒙古红鲌,1,20,1,0,13,0.11560044893378227,False
蓝鲨,0,0,2,0,19,0.05018438351771684,False
赤眼鳟,4,5,1,0,13,0.11190160444438718,False
野生鲫鱼,6,6,1,0,10,0.03692949627908978,False
锦鲤,6,6,1,0,10,0.06624579124579125,False
镜鲤,6,6,1,0,10,0.06624579124579125,False
长吻𬶏,1,6,2,0,26,0.10881054468294052,False
青梢红鲌,4,20,1,0,13,0.1311044034090909,False
青鱼,6,6,1,2,30,0.12859147025813691,False
革胡子鲶,3,3,0,0,5,0.134352044845872,False
马口鱼,1,6,1,0,10,0.04741863075196409,False
高体鳑鲏,4,6,2,0,26,0.09963390518946073,False
鯮鱼,4,20,1,0,13,0.1311044034090909,False
鲢鱼,9,6,1,0,10,0.06287172557013827,False
鲮,0,6,1,2,17,0.13317631708436306,False
鳙鱼,6,6,1,0,10,0.04660493827160493,False
鳜鱼,11,8,2,0,12,0.10238629683074127,False
鳡鱼,1,20,1,0,13,0.11560044893378227,False
麦穗鱼,11,6,2,0,26,0.13282297178130512,False
黄尾鲴,4,14,1,0,13,0.08564985795454545,False
黄金鲫,6,6,1,0,10,0.03692949627908978,False
黄颡鱼,4,3,2,0,26,0.12532200309978087,False
