record_id,资源ID,模型ID,鱼种,标准学名,英文名,最喜欢的温度(°C),候选水温带,资料水温下限(°C),资料水温上限(°C),对温度变化的容忍系数,水温接受阈值,FG推荐结构体,环境类型,栖息带类型,时段偏好,period0_3,period3_6,period6_9,period9_12,period12_15,period15_18,period18_21,period21_24,候选水层,表层亲和系数,中层亲和系数,底层亲和系数,深度上限(m),深度下限(m),真饵类型,拟饵类型,候选饵食性,摄食类型
recvppgBfWJr70,icon_fish_0001_2D,fish_alewife,灰西鲱,Alosa Pseudoharengus,Alewife,3.3,温水,2.3,4.3,8,0.1,开放水域|深坑|断层|入水口|出水口,淡水|半咸水|海水,pelagic-neritic,全天活跃,0.72,0.72,0.82,0.82,0.78,0.82,0.84,0.78,中上层|中层,7,10,4,145,5,种子|昆虫|甲壳|谷物|饵鱼,T尾|卷尾|软虫|米诺|VIB,滤食性,hunting macrofauna (predator)
recvppgBfWD5uv,icon_fish_0048_2D,fish_smallmouth_bass,小口黑鲈,Micropterus Dolomieu,Smallmouth Bass,19,广温,8.5,29.5,5.25,0.1,水草|石头|沉木|断层|湾子|碎石底|浅滩|入水口,淡水,benthopelagic,晨昏活跃,0.42,0.72,0.95,0.68,0.46,0.72,0.96,0.62,表层|中下层|底层,10,7,10,7,1,昆虫|甲壳|饵鱼,T尾|卷尾|软虫|米诺|波爬|VIB|铅笔|雷蛙|复合亮片|摇滚饵,凶猛肉食性,hunting macrofauna (predator)
recvppgBfWY1PD,icon_fish_0052_2D,fish_striped_bass,美洲条纹狼鲈,Morone Saxatilis,Striped Bass,16.5,温水,8,25,4.25,0.1,水草|石头|沉木|断层|湾子|浅滩,淡水|半咸水|海水,demersal,晨昏活跃,0.42,0.72,0.95,0.68,0.46,0.72,0.96,0.62,底层,1,4,10,,30,昆虫|甲壳|鱼饵|鱼卵|饵鱼,T尾|卷尾|软虫|米诺|勺子亮片|VIB,凶猛肉食性,hunting macrofauna (predator)
recvppgBfWSOnn,icon_fish_0020_2D,fish_chain_pickerel,链纹狗鱼,Esox Niger,Chain Pickerel,15,温水,10,20,2.5,0.1,水草|沉木|湾子|浅滩|芦苇,淡水,demersal,晨昏活跃,0.42,0.72,0.95,0.68,0.46,0.72,0.96,0.62,底层,1,4,10,6,,昆虫|甲壳|肉饵|饵鱼|内脏,T尾|软虫|仿真蛙|米诺|勺子亮片|旋转亮片|VIB|雷蛙|复合亮片,凶猛肉食性,hunting macrofauna (predator)
recvppgBfWzQJ3,icon_fish_0010_2D,fish_black_crappie,黑斑刺盖太阳鱼,Pomoxis Nigromaculatus,Black Crappie,22.3,温水,14,30.6,4.15,0.1,水草|石头|沉木|湾子|浅滩|芦苇|码头,淡水,benthopelagic,晨昏活跃,0.42,0.72,0.95,0.68,0.46,0.72,0.96,0.62,中下层|底层,1,7,10,,0,昆虫|甲壳|饵鱼,T尾|卷尾|软虫|米诺|波爬|VIB|铅笔|雷蛙|复合亮片|摇滚饵,凶猛肉食性,hunting macrofauna (predator)
recvppgBfWFZLN,icon_fish_0038_2D,fish_pumpkinseed_sunfish,驼背太阳鱼,Lepomis Gibbosus,Pumpkinseed Sunfish,17,广温,4,30,6.5,0.1,水草|石头|沉木|深坑|断层|湾子|浅滩|芦苇|码头,淡水|半咸水,benthopelagic,晨昏活跃,0.42,0.72,0.95,0.68,0.46,0.72,0.96,0.62,中下层|底层,1,7,10,41,0,昆虫|甲壳|鱼饵|鱼卵|饵鱼,T尾|卷尾|软虫|米诺|波爬|VIB|铅笔|雷蛙|复合亮片|摇滚饵,温和肉食性,hunting macrofauna (predator)
recvppgBfWAAVu,icon_fish_0046_2D,fish_sauger,加拿大梭鲈,Sander Canadensis,Sauger,25.1,温水,19.1,31.1,3.76,0.1,石头|深坑|断层|岩架|碎石底|暗岛,淡水,demersal,夜间活跃,1,0.88,0.42,0.3,0.24,0.38,0.72,0.96,表层|底层,10,4,10,,5,昆虫|甲壳|鱼饵|饵鱼,T尾|卷尾|软虫|米诺|勺子亮片|VIB,凶猛肉食性,hunting macrofauna (predator)
recvppgBfWht7g,icon_fish_0055_2D,fish_walleye,玻璃梭鲈,Sander Vitreus,Walleye,15.05,广温,1.1,29,6.97,0.1,石头|深坑|断层|岩架|碎石底|暗岛,淡水|半咸水,benthopelagic,夜间活跃,1,0.88,0.42,0.3,0.24,0.38,0.72,0.96,中下层|底层,1,7,10,27,0,昆虫|甲壳|饵鱼,T尾|卷尾|软虫|米诺|勺子亮片|VIB,凶猛肉食性,hunting macrofauna (predator)
recvppgBfWNdVB,icon_fish_0031_2D,fish_green_sunfish,绿太阳鱼,Lepomis Cyanellus,Green Sunfish,24.85,暖水,18,31.7,3.43,0.1,水草|石头|沉木|湾子|浅滩|芦苇|码头,淡水,benthopelagic,晨昏活跃,0.42,0.72,0.95,0.68,0.46,0.72,0.96,0.62,中下层|底层,1,7,10,,,昆虫|鱼饵|饵鱼,T尾|卷尾|软虫|米诺|波爬|VIB|铅笔|雷蛙|复合亮片|摇滚饵,温和肉食性,
recvppgBfWTESZ,icon_fish_0011_2D,fish_blacktail_shiner,迷人真小鲤,Cyprinella Venusta,Blacktail Shiner,22,温水,17,27,6,0.1,开放水域|石头|湾子|碎石底|浅滩|入水口,淡水,benthopelagic,早晨活跃,0.3,0.72,1,0.78,0.5,0.55,0.48,0.35,中下层|底层,1,7,10,,,昆虫,,杂食性,
recvppgBfWkdNd,icon_fish_0016_2D,fish_brook_trout,美洲红点鲑,Salvelinus Fontinalis,Brook Trout,12.65,温水,0,25.3,6.32,0.1,开放水域|石头|深坑|断层|碎石底|入水口,淡水|半咸水|海水,benthopelagic,晨昏活跃,0.42,0.72,0.95,0.68,0.46,0.72,0.96,0.62,中下层|底层,1,7,10,27,15,昆虫|甲壳|鱼饵|鱼卵|肉饵|饵鱼|内脏,软虫|米诺|勺子亮片|旋转亮片|VIB,温和肉食性,hunting macrofauna (predator)
recvppgBfWfMZm,icon_fish_0039_2D,fish_rainbow_trout,虹鳟,Oncorhynchus Mykiss,Rainbow Trout,17,温水,10,24,3.5,0.1,开放水域|石头|深坑|断层|碎石底|旋涡|入水口|出水口,淡水|半咸水|海水,benthopelagic,晨昏活跃,0.42,0.72,0.95,0.68,0.46,0.72,0.96,0.62,中下层|底层,1,7,10,200,0,种子|昆虫|甲壳|鱼饵|鱼卵|谷物|饵鱼,软虫|米诺|勺子亮片|旋转亮片|VIB,凶猛肉食性,hunting macrofauna (predator)
recvppgBfWgrqK,icon_fish_0030_2D,fish_golden_trout,金鳟,Oncorhynchus Aguabonita,Golden Trout,15,温水,11,19,8,0.1,石头|深坑|断层|碎石底|旋涡|入水口|出水口,淡水,demersal,晨昏活跃,0.42,0.72,0.95,0.68,0.46,0.72,0.96,0.62,底层,1,4,10,,,昆虫|甲壳,软虫|米诺|勺子亮片|旋转亮片|VIB,温和肉食性,hunting macrofauna (predator)
recvppgBfW7WZ6,icon_fish_0043_2D,fish_redspotted_sunfish,红斑太阳鱼,Lepomis Miniatus,Redspotted Sunfish,15,温水,11,19,8,0.1,水草|石头|沉木|湾子|浅滩|芦苇|码头,淡水,demersal,晨昏活跃,0.42,0.72,0.95,0.68,0.46,0.72,0.96,0.62,底层,1,4,10,,,,T尾|卷尾|软虫|米诺|波爬|VIB|铅笔|雷蛙|复合亮片|摇滚饵,温和肉食性,
recvppgBfWvTo4,icon_fish_0053_2D,fish_tench,丁鱥,Tinca Tinca,Tench,14,广温,4,24,5,0.1,水草|湾子|泥底|浅滩|芦苇|入水口,淡水|半咸水,demersal,晨昏活跃,0.42,0.72,0.95,0.68,0.46,0.72,0.96,0.62,表层|底层,10,4,10,,1,种子|昆虫|甲壳|鱼饵|面团|谷物|饵鱼,T尾|卷尾|软虫|米诺|VIB,温和肉食性,hunting macrofauna (predator)
