中文名,英文名,标准学名,源记录ID,资料水温下限(°C),资料水温上限(°C),最喜欢的温度(°C),候选水温带,时段偏好,栖息带类型,深度下限(m),深度上限(m),食性（源表候选）,摄食类型,环境类型,AI审核状态,资料复核状态,复核食性类别,复核摄食机制,复核主要食物,复核栖息与空间行为,复核生命周期与繁殖行为,复核事实摘要
鳜鱼,Mandarin Fish,Siniperca Chuatsi,recvq6YNcIbsH9,4,22,13,广温,全天活跃,benthopelagic,10,,肉食性,hunting macrofauna (predator),淡水,待人工审核,,,,,,,
翘嘴红鲌,Topmouth Culter,Culter Alburnus,recvq6YNcIeBRp,11,19,15,温水,早晨活跃,benthopelagic,,,肉食性,,淡水,待人工审核,,,,,,,
青鱼,Black Carp,Mylopharyngodon Piceus,recvq6YNcILcBb,0,40,20,温水,早晨活跃,demersal,5,30,肉食性,hunting macrofauna (predator),淡水|半咸水,待人工审核,,,,,,,
青梢红鲌,Humpback,Culter Recurviceps,recvq6YNcIo8KL,17,27,22,温水,早晨活跃,benthopelagic,,,,,淡水,待人工审核,,,,,,,
锦鲤,Koi,Cyprinus Rubrofuscus,recvq6YNcIJS4j,3,35,19,广温,早晨活跃,benthopelagic,0,29,肉食性,hunting macrofauna (predator),淡水|半咸水,待人工审核,,,,,,,
罗非鱼,Nile Tilapia,Oreochromis Niloticus,recvq6YNcIjOcP,13.5,33,23.25,广温,全天活跃,benthopelagic,0,20,植食性,browsing on substrate,淡水|半咸水,待人工审核,需补资料,杂食性,Grazing|Filter|Mixed/Switching,尼罗罗非鱼以附着藻、植物、无脊椎及碎屑等为食；不能视为纯植食。,暖水浅水区；重要长距离迁徙证据本轮不足。,雄性建巢占区；雌性口孵期间少食，口孵运动与普通通气有差异。,尼罗罗非鱼可刮食及利用悬浮颗粒；雄鱼繁殖领地与雌鱼口孵是不同阶段/对象。FAO 记载口孵雌鱼少食或停食，释放早期的幼鱼遇警可回口；不能推广为全种停食。
野生鲫鱼,Goldfish,Carassius Auratus,recvq6YNcIlcYz,0,41,20.5,温水,早晨活跃,,0,20,,,,待人工审核,,,,,,,
荷包红鲤,Wuyuan Red Carp,Cyprinus Carpio Var. Wuyuanensis,recvq6YNcIsM5N,3,35,19,温水,早晨活跃,,0,29,,,,待人工审核,,,,,,,
赤眼鳟,Barbel Chub,Squaliobarbus Curriculus,recvq6YNcIt6Bv,17,27,22,温水,早晨活跃,benthopelagic,,,,,淡水|半咸水,待人工审核,,,,,,,
革胡子鲶,African Sharptooth Catfish,Clarias Gariepinus,recvq6YNcIcY73,8,35,21.5,广温,夜间活跃,benthopelagic,0,80,肉食性,hunting macrofauna (predator),淡水,待人工审核,,,,,,,
花骨鱼,Spotted Steed,Hemibarbus Maculatus,recvq6YNcIimdw,10,24,17,温水,全天活跃,benthopelagic,,,肉食性,hunting macrofauna (predator),淡水,待人工审核,,,,,,,
镜鲤,Mirror Carp,Cyprinus Carpio Var. Specularis,recvq6YNcIysR0,3,35,19,广温,早晨活跃,benthopelagic,0,29,肉食性,hunting macrofauna (predator),淡水|半咸水,待人工审核,,,,,,,
蒙古红鲌,Mongolian Redfin,Chanodichthys Mongolicus,recvq6YNcICsUd,10,20,15,温水,早晨活跃,benthopelagic,,,肉食性,,淡水,待人工审核,,,,,,,
蓝鲨,Iridescent Shark,Pangasianodon Hypophthalmus,recvq6YNcIHj3r,22,26,24,暖水,全天活跃,benthopelagic,,,肉食性,hunting macrofauna (predator),淡水,待人工审核,,,,,,,
长吻𬶏,Chinese Longsnout Catfish,"Tachysurus dumerili (Bleeker, 1864)",recvq6YNcIHOxR,11,19,15,温水,全天活跃,demersal,,,,,淡水|半咸水,待人工审核,,,,,,,
细鳞鲑,Sharp Snouted Lenok,Brachymystax Lenok,recvq6YNcIoSVf,11,19,15,冷水,晨昏活跃,benthopelagic,,,肉食性,hunting macrofauna (predator),淡水,待人工审核,,,,,,,
红罗非,Red Tilapia,Oreochromis Sp. (hybrid),recvq6YNcINNjg,20,35,27.5,暖水,全天活跃,,,,,,,待人工审核,,,,,,,
斑鳜,Spotted Mandarin Fish,Siniperca Scherzeri,recvq6YNcILFwW,11,19,15,温水,全天活跃,benthopelagic,,,肉食性,,淡水|半咸水,待人工审核,,,,,,,
淡水白鲳,Red-bellied Pacu,Piaractus Brachypomus,recvq6YNcIhhiO,23,28,25.5,暖水,全天活跃,pelagic,,,植食性,other,淡水,待人工审核,,,,,,,
沙塘鳢,Dark Sleeper,Odontobutis Obscura,recvq6YNcI8WeG,11,19,15,温水,全天活跃,,,,,,,待人工审核,,,,,,,
海鲈,Japanese Seabass,Lateolabrax Maculatus,recvq6YNcIxBzV,17.4,27.4,22.4,温水,晨昏活跃,,5,,,,,待人工审核,,,,,,,
湘华鲮,Decoris Labeo,Sinilabeo Decorus Tungting,recvq6YNcIOd57,17,27,22,温水,早晨活跃,,,,,,,待人工审核,,,,,,,
湄公鲶,Mekong Giant Catfish,Pangasianodon Gigas,recvq6YNcID5fB,20,32,26,暖水,夜间活跃,benthopelagic,,,植食性,other,淡水,待人工审核,,,,,,,
欧洲巨鲶,Wels Catfish,Silurus Glanis,recvq6YNcI44ye,4,20,12,冷水,夜间活跃,benthopelagic,0,30,肉食性,hunting macrofauna (predator),淡水|半咸水,待人工审核,,,,,,,
杂交鲟,Hybrid Sturgeon,Acipenser Schrenckii X Huso Dauricus,recvq6YNcIVZWx,10,20,15,温水,晨昏活跃,,,,,,,待人工审核,,,,,,,
柳根鱼,Amur Minnow,Rhynchocypris Lagowskii,recvq6YNcIMyMX,16,20,18,温水,早晨活跃,benthopelagic,,,,,淡水,待人工审核,,,,,,,
泰鲮,Rohu,Labeo Rohita,recvq6YNcItDBI,20,32,26,温水,早晨活跃,benthopelagic,5,,植食性,grazing on aquatic plants,淡水|半咸水,待人工审核,,,,,,,
淡水石斑,Jaguar Cichlid,Parachromis Managuensis,recvq6YNcIXBRa,25,36,30.5,暖水,全天活跃,benthopelagic,3,10,肉食性,hunting macrofauna (predator),淡水,待人工审核,,,,,,,
江黄颡,Darkbarbel Catfish,Tachysurus Vachellii,recvq6YNcIOZP9,17,27,22,温水,全天活跃,demersal,,,,,淡水,待人工审核,,,,,,,
笋壳鱼,Marble Goby,Oxyeleotris Marmorata,recvq6YNcIvxdV,22,28,25,暖水,全天活跃,demersal,10,,肉食性,hunting macrofauna (predator),淡水|半咸水,待人工审核,,,,,,,
暹罗巨鲤,Giant Barb,Catlocarpio Siamensis,recvq6YNcIWisp,20,32,26,温水,早晨活跃,benthopelagic,,,杂食性,variable,淡水,待人工审核,,,,,,,
大青鲨,Paroon Shark,Pangasius Sanitwongsei,recvq6YNcIeP9O,20,32,26,暖水,全天活跃,benthopelagic,,,肉食性,hunting macrofauna (predator),淡水,待人工审核,,,,,,,
宽鳍𫚭,Pale Chub,Zacco Platypus,recvq6YNcIkbkA,10,22,16,温水,早晨活跃,benthopelagic,,,杂食性,variable,淡水,待人工审核,,,,,,,
圆吻鲴,Distoechodon Tumirostris,Distoechodon Tumirostris,recvq6YNcIYYRG,17,27,22,温水,早晨活跃,benthopelagic,10,20,,,淡水,待人工审核,,,,,,,
圆腹雅罗鱼,Ide,Leuciscus Idus,recvq6YNcIciHF,4,20,12,冷水,早晨活跃,benthopelagic,15,,杂食性,variable,淡水|半咸水,待人工审核,,,,,,,
团头鲂,Wuchang Bream,Megalobrama Amblycephala,recvq6YNcIHywe,10,20,15,温水,早晨活跃,benthopelagic,5,20,,,淡水,待人工审核,,,,,,,
土鲶,Amur Catfish,Silurus Asotus,recvq6YNcIn0wK,5,25,15,广温,夜间活跃,demersal,,,肉食性,hunting macrofauna (predator),淡水,待人工审核,,,,,,,
工程鲫,Hybrid Crucian Carp,Carassius Auratus (triploid),recvq6YNcIw0FK,0,41,20.5,温水,早晨活跃,,0,20,,,,待人工审核,,,,,,,
广东鲂,Guangdong Bream,Megalobrama Terminalis,recvq6YNcI7lOw,10,24,17,温水,早晨活跃,benthopelagic,,,,,淡水,待人工审核,,,,,,,
大口鲶,Chinese Largemouth Catfish,Silurus Meridionalis,recvq6YNcIlC4j,17,27,22,温水,夜间活跃,demersal,,,,,淡水,待人工审核,,,,,,,
宝石鲈,Jade Perch,Scortum Barcoo,recvq6YNcIZ7Ch,10,30,20,广温,全天活跃,benthopelagic,,,,,淡水,待人工审核,,,,,,,
大鳞鲃,Bulatmai Barbel,Luciobarbus Capito,recvq6YNcIw1iu,11,19,15,温水,早晨活跃,benthopelagic,,,杂食性,,淡水|半咸水,待人工审核,,,,,,,
大鳍𫚪,Largefin Bitterling,Acheilognathus Macropterus,recvq6YNcIOtJO,15,25,20,温水,全天活跃,benthopelagic,,,,,淡水|半咸水,待人工审核,,,,,,,
唇䱻,Hemibarbus Labeo,Hemibarbus Labeo,recvq6YNcIoRCW,11,19,15,温水,全天活跃,benthopelagic,5,20,,,淡水,待人工审核,,,,,,,
巨型巴沙,Basa Fish,Pangasius Bocourti,recvq6YNcItRD3,20,32,26,暖水,全天活跃,benthopelagic,,,杂食性,,淡水,待人工审核,,,,,,,
巴西鲷,Streaked Prochilod,Prochilodus Lineatus,recvq6YNcIZjdG,17,27,22,温水,全天活跃,benthopelagic,5,,植食性,grazing on aquatic plants,淡水,待人工审核,,,,,,,
准白甲鱼,Onychostoma Simum,"Onychostoma simum (Sauvage & Dabry de Thiersant, 1874)",recvq6YNcIrLRm,17,27,22,温水,早晨活跃,,,,,,,待人工审核,,,,,,,
白条鱼,Sharpbelly,Hemiculter Leucisculus,recvq6YNcIs3Nd,18,22,20,温水,早晨活跃,benthopelagic,0,10,杂食性,variable,淡水|半咸水,待人工审核,,,,,,,
金眼鱼,Goldeye,Hiodon Alosoides,recvq6YNcI6UhU,11,19,15,温水,夜间活跃,pelagic,,,肉食性,,淡水,待人工审核,,,,,,,
俄罗斯鲟,Russian Sturgeon,Acipenser Gueldenstaedtii,recvq6YNcIwdwg,10,20,15,温水,晨昏活跃,demersal,2,100,肉食性,hunting macrofauna (predator),淡水|半咸水|海水,待人工审核,,,,,,,
印度鲮,Mrigal Carp,Cirrhinus Mrigala,recvq6YNcIULip,20,32,26,温水,早晨活跃,demersal,,,,,淡水,待人工审核,,,,,,,
哲罗鲑,Siberian Taimen,Hucho Taimen,recvq6YNcINYhI,11,19,15,温水,晨昏活跃,benthopelagic,,,肉食性,hunting macrofauna (predator),淡水|半咸水,待人工审核,,,,,,,
六须鲶,Soldatov's Catfish,Silurus Soldatovi,recvq6YNcI2GbT,5,25,15,广温,夜间活跃,demersal,,,肉食性,,淡水,待人工审核,,,,,,,
黑鼓鱼,Black Drum,Pogonias Cromis,recvq6YNcIGHfu,18.5,28.5,23.5,温水,晨昏活跃,demersal,10,,肉食性,hunting macrofauna (predator),半咸水|海水,待人工审核,已修正,肉食性,Benthic Foraging|Target/Particulate,主要为蟹、贝类、蠕虫等，食谱有年龄差异。,河口与近海底层，也在浅水；季节及繁殖时向不同水区移动。,Texas 资料记载冬末春季繁殖聚集，河湾与海口环境均相关。,黑鼓鱼利用触须与化学线索寻找底栖猎物，并用咽齿处理硬壳食物。TPWD 记载翻底坑和泥云可供钓手判断近期觅食位置；痕迹不保证鱼仍在原处。
中华倒刺鲃,Spinibarbus Sinensis,Spinibarbus Sinensis,recvq6YNcIpdRI,17,27,22,温水,早晨活跃,benthopelagic,,,杂食性,variable,淡水,待人工审核,,,,,,,
金鲫,Crucian Carp,Carassius Carassius,recvq6YNcI0jrY,2,22,12,广温,早晨活跃,demersal,5,20,肉食性,hunting macrofauna (predator),淡水|半咸水,待人工审核,,,,,,,
赤稍雅罗鱼,Asp,Leuciscus Aspius,recvq6YNcIViHN,4,20,12,冷水,早晨活跃,benthopelagic,10,,肉食性,hunting macrofauna (predator),淡水|半咸水,待人工审核,,,,,,,
黑线鳕,Haddock,Melanogrammus Aeglefinus,recvq6YNcItX2T,6.4,10.4,8.4,冷水,全天活跃,demersal,10,450,肉食性,hunting macrofauna (predator),海水,待人工审核,,,,,,,
光倒刺鲃,Spinibarbus Hollandi,Spinibarbus Hollandi,recvq6YNcIPWKl,17,27,22,温水,早晨活跃,benthopelagic,2,30,肉食性,,淡水,待人工审核,,,,,,,
鼠鲨,Porbeagle,Lamna Nasus,recvq6YNcIUKhd,-1,23,11,温水,全天活跃,pelagic-oceanic,0,1360,肉食性,hunting macrofauna (predator),海水,待人工审核,,,,,,,
银鲫,Prussian Carp,Carassius Gibelio,recvq6YNcI5zDu,10,20,15,温水,早晨活跃,benthopelagic,0,,植食性,grazing on aquatic plants,淡水|半咸水,待人工审核,,,,,,,
大西洋大比目鱼,Atlantic Halibut,Hippoglossus Hippoglossus,recvq6YNcIUhsG,2.4,4.4,3.4,温水,全天活跃,demersal,50,2000,肉食性,hunting macrofauna (predator),海水,待人工审核,,,,,,,
海七鳃鳗,Petromyzon Marinus,Petromyzon Marinus,recvq6YNcIURTm,0.6,20,10.3,广温,夜间活跃,demersal,1,4099,肉食性,hunting macrofauna (predator),淡水|半咸水|海水,待人工审核,已修正,杂食性|肉食性,Filter|Other,幼体摄取微小藻类、有机颗粒等；寄生阶段吸取宿主组织液/血液。,幼体埋于沉积物；寄生阶段进入湖/海宿主环境，成熟后进入河流繁殖；陆封种群须区别。,生命周期有长期摄食与形态转换，产卵后死亡。,幼体摄取微小藻类、有机颗粒等；寄生阶段吸取宿主组织液/血液。 幼体滤食；变态后口盘附着并寄生取食；繁殖阶段停止摄食。
大西洋鲱鱼,Atlantic Herring,Clupea Harengus,recvq6YNcIxqFV,1,18,9.5,冷水,全天活跃,benthopelagic,0,364,滤食性,selective plankton feeding,半咸水|海水,待人工审核,已修正,肉食性,Target/Particulate|Filter|Mixed/Switching,,,,Atlantic herring 为以浮游动物为主的摄食者；可进行选择性逐颗摄食，也可在合适的食物密度/颗粒尺寸下切换到滤食。不能仅以“滤食性”概括。
黑口红点鲑,Blackmouth Salmon,Salvelinus Confluentus,recvq6YNcIQCn3,11,19,15,冷水,晨昏活跃,benthopelagic,,,肉食性,,淡水|半咸水,待人工审核,,,,,,,
虎纹鳟鱼,Tiger Trout,Salmo Trutta × Salvelinus Fontinalis,recvq6YNcIxdGw,18,24,21,暖水,晨昏活跃,reef-associated,4,100,肉食性,hunting macrofauna (predator),海水,待人工审核,,,,,,,
绿青鳕,Pollachius Virens,Pollachius Virens,recvq6YNcIQa4t,5,9,7,温水,全天活跃,demersal,37,364,肉食性,hunting macrofauna (predator),海水,待人工审核,,,,,,,
鳞鲤(白化),Albino Scale Carp,Cyprinus Carpio Var. Albino,recvq6YNcIcoaF,3,35,19,温水,早晨活跃,,0,29,,,,待人工审核,,,,,,,
牛头鲦,Bullhead Minnow,Pimephales Vigilax,recvq6YNcIyeHV,17,27,22,温水,早晨活跃,demersal,,,肉食性,,淡水,待人工审核,,,,,,,
女巫鲽,Witch Flounder,Glyptocephalus Cynoglossus,recvq6YNcI0x5F,2,6,4,冷水,全天活跃,demersal,18,1570,肉食性,hunting macrofauna (predator),海水,待人工审核,,,,,,,
彩虹镖鲈,Rainbow Darter,Etheostoma Caeruleum,recvq6YNcIzusj,4,18,11,冷水,晨昏活跃,benthopelagic,,,肉食性,hunting macrofauna (predator),淡水,待人工审核,,,,,,,
欧鲢,Common Chub,Squalius Cephalus,recvq6YNcIsFRn,4,20,12,冷水,早晨活跃,benthopelagic,0,,杂食性,variable,淡水|半咸水,待人工审核,,,,,,,
大西洋鳕鱼,Atlantic Cod,Gadus Morhua,recvq6YNcI7jPP,0,15,7.5,冷水,全天活跃,benthopelagic,0,600,肉食性,hunting macrofauna (predator),半咸水|海水,待人工审核,已复核-无问题,肉食性,Target/Particulate|Benthic Foraging,鱼类及底栖无脊椎动物。,冷温带海洋底层；西北大西洋种群有季节水深/位置变化。,冬春繁殖，具体季节和迁移范围依种群，不能当全球固定月份。,普通食物包括鱼和无脊椎。圈养研究观察繁殖发声与求偶/竞争的联系；挪威遥测显示繁殖期性别相关水深差异。潜水对应排卵仍为解释，不能把声音或潜水直接当进食/产卵事件。
虎纹梭鱼,Tiger Muskellunge,E. Lucius × E. Masquinongy,recvq6YNcIAedj,10,24,17,温水,早晨活跃,,,,肉食性,,,待人工审核,,,,,,,
湖红点鲑,Lake Trout,Salvelinus Namaycush,recvq6YNcI2VjG,4,13,8.5,冷水,晨昏活跃,benthopelagic,3,61,肉食性,hunting macrofauna (predator),淡水,待人工审核,,,,,,,
毛鳞鱼,Capelin,Mallotus Villosus,recvq6YNcI6qP9,1.7,3.7,2.7,冷水,全天活跃,pelagic-oceanic,0,725,滤食性,selective plankton feeding,淡水|半咸水|海水,待人工审核,需补资料,肉食性,,,,,Capelin 以 zooplankton 为主要食物，是重要 forage fish。当前证据支持动物性浮游摄食，但不足以把“吃浮游生物”直接等同为 Filter feeding。
加拿大梭鲈,Sauger,Sander Canadensis,recvppgBfWAAVu,19.1,31.1,25.1,温水,夜间活跃,demersal,5,,肉食性,hunting macrofauna (predator),淡水,待人工审核,,,,,,,
淡水石首鱼,Freshwater Drum,Aplodinotus Grunniens,recvppgBfWJcAj,21.4,33.4,27.4,,晨昏活跃,demersal,30,27,肉食性,hunting macrofauna (predator),淡水,待人工审核,,,,,,,
斑点叉尾鮰,Channel Catfish,Ictalurus Punctatus,recvppgBfWmWs0,10,31.6,20.8,广温,夜间活跃,demersal,,15,杂食性,variable,淡水,待人工审核,已复核-无问题,杂食性,Benthic Foraging|Target/Particulate,鱼、甲壳类、昆虫、软体动物及植物等杂食。,日间深水掩体，夜间可到浅水；Wisconsin–Mississippi 研究发现季节迁移。,雄鱼守护洞巢及初期幼鱼；不能从全种标签推出所有个体都是守巢者。,鱼、甲壳类、昆虫、软体动物及植物等杂食。 利用嗅味觉等在底部搜寻，也接受离散饵物。
黄鲈,Yellow Perch,Perca Flavescens,recvppgBfW5pTn,0,29.7,14.85,温水,晨昏活跃,benthopelagic,0,56,肉食性,hunting macrofauna (predator),淡水|半咸水,待人工审核,已复核-无问题,肉食性,Target/Particulate,幼鱼浮游动物、较大鱼底栖无脊椎和鱼，随阶段变化。,湖泊、缓流水域及回水区；Chesapeake 支流有区域性繁殖迁移。,春季卵以胶质带附着/悬于植被等结构，不能套用护巢雄鱼故事。,幼鱼浮游动物、较大鱼底栖无脊椎和鱼，随阶段变化。 摄取并整吞猎物；不能由幼鱼食谱推成滤食。
蓝鳃太阳鱼,Bluegill Sunfish,Lepomis Macrochirus,recvppgBfWdXkn,1,36,18.5,广温,晨昏活跃,benthopelagic,,,肉食性,hunting macrofauna (predator),淡水,待人工审核,已复核-无问题,肉食性,Target/Particulate,昆虫、小型甲壳类及其他小动物；年龄影响食谱。,池湖与缓流水体，各水层取食；季节/日内利用浅水、阴影或较深区域。,部分雄鱼建立并照护巢区；存在替代繁殖策略，不能把全部繁殖雄鱼都归为守巢。,蓝鳃太阳鱼护巢雄鱼可能因摄食或防御接近小饵，不能只凭钩获识别动机。MDC 钓法记载较大浮漂阻力可导致吐饵，建议小饵与缓慢、低阻呈现；缺统一数值阈值。
白金火箭,White Alligator Gar,Atractosteus Spatula,recvppgBfWN4vR,17,27,22,温水,晨昏活跃,demersal,0,,肉食性,hunting macrofauna (predator),淡水|半咸水,待人工审核,,,,,,,
美鱥,Common Shiner,Notemigonus Crysoleucas,recvppgBfWcwV0,0,34.7,17.35,温水,早晨活跃,demersal,10,,杂食性,variable,淡水|半咸水,待人工审核,需人工确认,,,身份未定，暂不归属。,身份未定，暂不归属。,身份未定，暂不归属。,英文 Common Shiner 对应 Luxilus cornutus；源学名 Notemigonus crysoleucas 对应 Golden Shiner，两者不是同种。
鸭嘴鲟,American Paddlefish,Polyodon Spathula,recvppgBfWV4up,10,18,14,冷水,全天活跃,demersal,2,,滤食性,filtering plankton,淡水,待人工审核,已修正,肉食性,Filter|Target/Particulate|Mixed/Switching,以浮游动物为重要食物；早期阶段可摄取较大无脊椎猎物。,大河及相连开放水域、水柱活动；不能将底栖标签当唯一水层。,上溯与适宜水文有关，在砾石等产卵地繁殖。,存在滤食与颗粒摄食资料；幼鱼实验支持电感受定位猎物，以及重复人工电刺激后的习惯化/食物强化后恢复。实验不证明成年鱼或电饵垂钓效果。常见锚挂捕获不要求主动吃饵。
迷人真小鲤,Blacktail Shiner,Cyprinella Venusta,recvppgBfWTESZ,17,27,22,温水,早晨活跃,benthopelagic,,,肉食性,,淡水,待人工审核,,,,,,,
美洲锐唇鲷,Chiselmouth,Gila Alutacea,recvppgBfW1di5,11,19,15,温水,早晨活跃,demersal,,,植食性,grazing on aquatic plants,淡水,待人工审核,,,,,,,
驼背太阳鱼,Pumpkinseed Sunfish,Lepomis Gibbosus,recvppgBfWFZLN,4,30,17,广温,晨昏活跃,benthopelagic,0,41,肉食性,hunting macrofauna (predator),淡水|半咸水,待人工审核,,,,,,,
美洲红点鲑,Brook Trout,Salvelinus Fontinalis,recvppgBfWkdNd,0,25.3,12.65,温水,晨昏活跃,benthopelagic,15,27,肉食性,hunting macrofauna (predator),淡水|半咸水|海水,待人工审核,,,,,,,
金鳟,Golden Trout,Oncorhynchus Aguabonita,recvppgBfWgrqK,11,19,15,温水,晨昏活跃,demersal,,,肉食性,hunting macrofauna (predator),淡水,待人工审核,,,,,,,
弓鳍鱼,Bowfin,Amia Calva,recvppgBfWjob4,15,20,17.5,温水,晨昏活跃,demersal,0,,肉食性,hunting macrofauna (predator),淡水,待人工审核,,,,,,,
斑点黑鲈,Spotted Bass,Micropterus Punctulatus,recvppgBfWgbC9,17,27,22,温水,晨昏活跃,demersal,,,肉食性,hunting macrofauna (predator),淡水,待人工审核,,,,,,,
大口黑鲈,Largemouth Bass,Micropterus Salmoides,recvppgBfW8ABR,10,31.7,20.85,广温,晨昏活跃,benthopelagic,0,6,肉食性,hunting macrofauna (predator),淡水,待人工审核,需人工确认,,,身份未定，暂不归属。,身份未定，暂不归属。,身份未定，暂不归属。,旧 USFWS 使用 Largemouth Bass = Micropterus salmoides；2022 分类研究改为 Largemouth = M. nigricans、Florida bass = M. salmoides。源记录缺少分类体系版本，不能自动改名。
西方七鳃鳗,Petromyzontidae,Western Brook Lamprey,recvppgBfWwgqx,0.6,18,10月12日,冷水,夜间活跃,demersal,10,,肉食性,hunting macrofauna (predator),淡水|半咸水|海水,待人工审核,,,,,,,
美洲条纹狼鲈,Striped Bass,Morone Saxatilis,recvppgBfWY1PD,8,25,16.5,温水,晨昏活跃,demersal,30,,肉食性,hunting macrofauna (predator),淡水|半咸水|海水,待人工审核,,,,,,,
眼鳢,Bullseye Snakehead,Channa Marulius,recvppgBfWfeHA,24,28,26,暖水,晨昏活跃,benthopelagic,,,肉食性,hunting macrofauna (predator),淡水,待人工审核,,,,,,,
北美狗鱼,Muskellunge,Esox Masquinongy,recvppgBfWTdCt,11,19,15,温水,晨昏活跃,demersal,,,肉食性,hunting macrofauna (predator),淡水,待人工审核,,,,,,,
白马切喉鳟,Cutthroat Trout,Oncorhynchus Clarkii,recvppgBfWDMIV,6.1,10.1,8.1,,晨昏活跃,demersal,0,200,肉食性,hunting macrofauna (predator),淡水|半咸水|海水,待人工审核,,,,,,,
鬼头刀,Mahimahi,Coryphaena Hippurus,recvppgBfWzovp,21,30,25.5,暖水,全天活跃,pelagic-neritic,0,85,肉食性,hunting macrofauna (predator),半咸水|海水,待人工审核,,,,,,,
佛罗里达雀鳝,Florida Gar,Lepisosteus Platyrhincus,recvppgBfWzbGS,17,27,22,温水,晨昏活跃,demersal,,,肉食性,hunting macrofauna (predator),淡水,待人工审核,,,,,,,
黑牛胭脂鱼,Black Buffalo,Ictiobus Niger,recvppgBfWvgxs,17,27,22,温水,早晨活跃,demersal,,,肉食性,hunting macrofauna (predator),淡水,待人工审核,,,,,,,
链纹狗鱼,Chain Pickerel,Esox Niger,recvppgBfWSOnn,10,20,15,温水,晨昏活跃,demersal,,6,肉食性,hunting macrofauna (predator),淡水,待人工审核,,,,,,,
白斑刺盖太阳鱼,White Crappie,Pomoxis Annularis,recvppgBfWM3bv,20.3,32.3,26.3,温水,晨昏活跃,demersal,,,肉食性,hunting macrofauna (predator),淡水,待人工审核,,,,,,,
露仙美鱥,Tennessee Shiner,Paranotropis Leuciodus,recvppgBfWSeoR,11,19,15,,早晨活跃,demersal,,,,,,待人工审核,,,,,,,
玻璃梭鲈,Walleye,Sander Vitreus,recvppgBfWht7g,1.1,29,15.05,广温,夜间活跃,benthopelagic,0,27,肉食性,hunting macrofauna (predator),淡水|半咸水,待人工审核,已复核-无问题,肉食性,Target/Particulate,成鱼主要食鱼，幼鱼阶段食物不同。,湖河中晨昏可到浅滩，明亮时利用阴影/深水；季节迁往繁殖及取食区域。,岩砾浅滩/河段产卵，双亲均不照护卵。,成鱼主要食鱼，幼鱼阶段食物不同。 低光下选择并捕获猎物，非连续滤食。
绿太阳鱼,Green Sunfish,Lepomis Cyanellus,recvppgBfWNdVB,18,31.7,24.85,暖水,晨昏活跃,benthopelagic,,,肉食性,,淡水,待人工审核,,,,,,,
